term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,indicator,lo,hi
z_cum_freq,0.5,1.6320988155219158,1.7528975473319195,0.35247349200893385,STAT0002_2021,11,online,STAT0002,Frequency,-1.8035803772486463,5.067778008292478
z_cum_imm,0.5,1.0502708762839015,2.1109607771088386,0.6191373393110315,STAT0002_2021,11,online,STAT0002,Immediacy,-3.087212246849422,5.187753999417225
z_cum_div,0.5,1.119595917606737,1.8848568548587323,0.5529126593657052,STAT0002_2021,11,online,STAT0002,Diversity,-2.5747235179163788,4.813915353129852
z_cum_freq,0.75,1.8851204449376104,1.56684082012769,0.22976626704761416,STAT0002_2021,11,online,STAT0002,Frequency,-1.185887562512662,4.956128452387883
z_cum_imm,0.75,1.4181590291140538,1.3156634348624403,0.28184521975656196,STAT0002_2021,11,online,STAT0002,Immediacy,-1.160541303216329,3.9968593614444368
z_cum_div,0.75,0.847580991102832,1.9199319654610458,0.659159341421812,STAT0002_2021,11,online,STAT0002,Diversity,-2.9154856612008175,4.610647643406482
z_cum_freq,0.9,1.401785257604521,1.7163359318734923,0.4146572713236538,STAT0002_2021,11,online,STAT0002,Frequency,-1.9622331688675239,4.765803684076566
z_cum_imm,0.9,0.07783601852055239,2.0777414036666224,0.970138880518137,STAT0002_2021,11,online,STAT0002,Immediacy,-3.9945371326660273,4.150209169707132
z_cum_div,0.9,1.002852723213882,2.0631509645640387,0.6272266956228769,STAT0002_2021,11,online,STAT0002,Diversity,-3.0409231673316337,5.046628613759397
z_cum_freq,0.1,1.5542936524735254,3.634612507342909,0.6692655851065068,STAT0002_2223,6,in_person,STAT0002,Frequency,-5.569546861918576,8.678134166865627
z_cum_imm,0.1,2.2861491722546092,3.4908724816028815,0.5131087726914614,STAT0002_2223,6,in_person,STAT0002,Immediacy,-4.555960891687038,9.128259236196257
z_cum_div,0.1,4.874169479066268,3.2781101068667775,0.1382433007527979,STAT0002_2223,6,in_person,STAT0002,Diversity,-1.550926330392616,11.299265288525152
z_cum_freq,0.25,3.1070511396808698,1.2835509562077825,0.016169701132555225,STAT0002_2223,6,in_person,STAT0002,Frequency,0.591291265513616,5.622811013848123
z_cum_imm,0.25,1.079339619562721,1.825861927856169,0.5549344695191643,STAT0002_2223,6,in_person,STAT0002,Immediacy,-2.49934975903537,4.658028998160812
z_cum_div,0.25,2.4716187591897425,1.6493019057404827,0.13518068775417724,STAT0002_2223,6,in_person,STAT0002,Diversity,-0.7610129760616036,5.704250494441089
z_cum_freq,0.5,1.1485722142352124,1.1609316030894608,0.3233993540890643,STAT0002_2223,6,in_person,STAT0002,Frequency,-1.1268537278201305,3.4239981562905553
z_cum_imm,0.5,0.40525068706186407,1.2347744817758532,0.7430229944083886,STAT0002_2223,6,in_person,STAT0002,Immediacy,-2.0149072972188082,2.825408671342536
