cohort_id,week,p,rho,indicator,p_BH
STAT0004_2021,7,1.5688956377695747e-5,0.24183497796771644,Immediacy,3.558320003188726e-5
STAT0004_2021,8,4.3045617759232724e-5,0.22940365139336721,Immediacy,8.76855176576963e-5
STAT0004_2021,9,2.528602804699069e-5,0.23603992198898996,Immediacy,5.4538491866058346e-5
STAT0004_2021,10,2.6464129313552666e-6,0.26227147510961746,Immediacy,6.849539351743043e-6
STAT0004_2021,11,6.892623406084511e-7,0.27665766749753834,Immediacy,2.1060793740813782e-6
STAT0004_2122,1,4.101105199157503e-4,0.26648074923197274,Immediacy,7.276154385602022e-4
STAT0004_2122,2,0.0026050188065034224,0.22820347905107163,Immediacy,0.0038723252529104927
STAT0004_2122,3,0.05454171422454803,0.14686499295715827,Immediacy,0.057138938711431275
STAT0004_2122,4,0.019883471210897674,0.17743213609423591,Immediacy,0.02222787340396082
STAT0004_2122,5,0.006177843662848245,0.20801300446714063,Immediacy,0.008070462027688997
STAT0004_2122,6,0.036909752083889455,0.15925834433661912,Immediacy,0.03961046565100332
STAT0004_2122,7,0.01686218354952096,0.18201532514700672,Immediacy,0.019837862999436424
STAT0004_2122,8,0.008368265582026238,0.20047357269986346,Immediacy,0.010460331977532798
STAT0004_2122,9,0.019532040585777215,0.17793288388795162,Immediacy,0.022149736746757666
STAT0004_2122,10,0.007003417532048225,0.20492746658647562,Immediacy,0.00901024477807374
STAT0004_2122,11,0.0054363162190488425,0.21111598528304448,Immediacy,0.007292619318236253
STAT0004_2223,1,0.3098875581836783,0.07271530737996411,Immediacy,0.31273056330462945
STAT0004_2223,2,0.058549757300889536,0.1350094899087413,Immediacy,0.06104714031372369
STAT0004_2223,3,0.021144050342530973,0.16418174012741893,Immediacy,0.023258455376784073
STAT0004_2223,4,0.053144370164049055,0.1379920207103858,Immediacy,0.05621039151966727
STAT0004_2223,5,0.06956663807678165,0.12957257016729137,Immediacy,0.0718528656192111
STAT0004_2223,6,0.09227621437740016,0.12027478195197741,Immediacy,0.09486339795807493
STAT0004_2223,7,0.04703676430699252,0.14168148019268814,Immediacy,0.05023343760940949
STAT0004_2223,8,0.05391387351465303,0.13755253401126524,Immediacy,0.056751445804897924
STAT0004_2223,9,0.04861582369010606,0.1406910353949395,Immediacy,0.051668991361465376
STAT0004_2223,10,0.05981386525363383,0.13434496833107604,Immediacy,0.062070992244336994
STAT0004_2223,11,0.01673199015798889,0.17029842841797296,Immediacy,0.019790525993320197
STAT0002_2021,1,5.321522155398892e-5,0.21670555931734978,Diversity,1.0452989948104966e-4
STAT0002_2021,2,1.2519159848603854e-5,0.23378750399754053,Diversity,2.8689741319717163e-5
STAT0002_2021,3,1.8494988866726046e-7,0.2773969168833506,Diversity,8.137795101359461e-7
STAT0002_2021,4,4.188321622098045e-9,0.31099349085364825,Diversity,3.68572302744628e-8
STAT0002_2021,5,6.014566051401235e-9,0.3079632698665735,Diversity,4.562774245890592e-8
STAT0002_2021,6,1.0664874667358496e-8,0.30309559679100934,Diversity,6.703635505196769e-8
STAT0002_2021,7,1.230504034067811e-8,0.30186577885847665,Diversity,7.519746874858845e-8
STAT0002_2021,8,3.575039559769178e-8,0.2925105227965101,Diversity,1.872639769402903e-7
STAT0002_2021,9,2.5527471085838794e-8,0.29550114481612666,Diversity,1.36976674119135e-7
STAT0002_2021,10,1.995959279727081e-8,0.29766438840961207,Diversity,1.0977776038498947e-7
STAT0002_2021,11,1.9235732952243685e-8,0.29798762998109735,Diversity,1.0850926280752849e-7
STAT0002_2223,1,3.8451404075268134e-5,0.24911708052945963,Diversity,7.9058961650084e-5
STAT0002_2223,2,9.523422197342291e-9,0.3421683625099753,Diversity,6.263383913736965e-8
STAT0002_2223,3,2.7153977687914744e-9,0.3538251475933002,Diversity,2.5973369962353233e-8
STAT0002_2223,4,6.979616686179133e-9,0.34509997508129747,Diversity,5.118385569864697e-8
STAT0002_2223,5,7.722613416010156e-10,0.36504912578840737,Diversity,9.438749730679079e-9
STAT0002_2223,6,3.4163155362839706e-10,0.3721039095890729,Diversity,4.69743386239046e-9
STAT0002_2223,7,7.919852046155087e-11,0.38433787559907434,Diversity,1.5334504059828632e-9
STAT0002_2223,8,5.564984941653473e-12,0.40534618955775875,Diversity,2.448593374327528e-10
STAT0002_2223,9,2.3964647884247185e-12,0.41171440860785014,Diversity,1.8313791112103306e-10
STAT0002_2223,10,2.778965600577991e-12,0.4106048090109626,Diversity,1.8313791112103306e-10
STAT0002_2223,11,1.7626173962232564e-12,0.4140032730035888,Diversity,1.8313791112103306e-10
STAT0004_2021,1,3.397547980921722e-4,0.201566951383852,Diversity,6.07691508782747e-4
STAT0004_2021,2,1.992022183987683e-5,0.23895396555645923,Diversity,4.3390582225474284e-5
STAT0004_2021,3,2.243655333385993e-6,0.26408251653589454,Diversity,6.019563089572177e-6
STAT0004_2021,4,3.098305788449913e-7,0.28483392586645984,Diversity,1.0852024668202968e-6
STAT0004_2021,5,1.0190999609332984e-7,0.2957886817393806,Diversity,4.873956334898383e-7
STAT0004_2021,6,2.2154475042076971e-7,0.2881873257976944,Diversity,9.025897239364693e-7
STAT0004_2021,7,2.6581943080155006e-7,0.2863711477861568,Diversity,9.586930291203446e-7
STAT0004_2021,8,3.1076252458944865e-7,0.2848036990378114,Diversity,1.0852024668202968e-6
STAT0004_2021,9,1.305447724416531e-7,0.2933887110568875,Diversity,5.983302070242433e-7
STAT0004_2021,10,1.3364567498748135e-8,0.3146968472053048,Diversity,7.946499593850242e-8
STAT0004_2021,11,7.876566861037708e-9,0.31940709588920335,Diversity,5.503693410519558e-8
STAT0004_2122,1,0.008788750676451944,0.1992314308463715,Diversity,0.01081116316874109
STAT0004_2122,2,0.00198699948682384,0.23419553791989878,Diversity,0.0031224277650088914
STAT0004_2122,3,0.005923366017769731,0.20903845549249328,Diversity,0.007850244119935788
STAT0004_2122,4,0.008020561651865783,0.2015432392523358,Diversity,0.010082991790916984
