cohort_id,week,rho,diff_med,diff_lo,diff_hi,rho_lo,rho_hi,condition,module,year_label
STAT0004_2021,4,0.2686526944909581,0.029508387089222335,-0.04098507516097574,0.09795643494168439,0.1584577191446529,0.3730939412230615,online,STAT0004,2020-21
STAT0004_2021,5,0.28730659898648653,0.01116517831705352,-0.04954638374683953,0.06917503206275574,0.17983013883351837,0.3889582473699076,online,STAT0004,2020-21
STAT0004_2021,6,0.2840079234443736,0.01413721417279351,-0.040912806405622115,0.0679611817321483,0.17534608642047178,0.38619838741729173,online,STAT0004,2020-21
STAT0004_2021,7,0.2729192212327362,0.025621684967843505,-0.023415138202511506,0.07306406828296233,0.16398048994406744,0.37502538802098306,online,STAT0004,2020-21
STAT0004_2021,8,0.26154642634399766,0.03626195385693004,-0.004772803761921987,0.07659236673257662,0.1543344861798707,0.3626008317778861,online,STAT0004,2020-21
STAT0004_2021,9,0.2658463408899691,0.03201877259106668,9.252523912166966e-4,0.06493605033877921,0.15812597095106878,0.36530187517997564,online,STAT0004,2020-21
STAT0004_2021,10,0.28851349896173756,0.0092102488724497,-0.013653114346461168,0.033210094962155205,0.18084031507428086,0.3898712933045861,online,STAT0004,2020-21
STAT0004_2021,11,0.29775243779667243,0,0,0,0.19249032601499896,0.3993552323498022,online,STAT0004,2020-21
STAT0004_2122,1,0.24930113047702346,-0.016045349424722383,-0.15863357557162874,0.1154296761214951,0.10401874527527878,0.3925761542754402,hybrid,STAT0004,2021-22
STAT0004_2122,2,0.23672970757880893,-0.004537149933574597,-0.10989365441394013,0.09291177079586786,0.09227043932050905,0.37950994578072855,hybrid,STAT0004,2021-22
STAT0004_2122,3,0.18038565044451851,0.05265027827165902,-0.04572696112097174,0.14266608821022078,0.03592443878014518,0.32911300745223654,hybrid,STAT0004,2021-22
STAT0004_2122,4,0.2071160890523353,0.024498417425114716,-0.05540112177693671,0.0939583203991782,0.06011420952784758,0.35394790489147243,hybrid,STAT0004,2021-22
STAT0004_2122,5,0.22749056047750998,0.004348446248363155,-0.06370711168773598,0.06431377131311737,0.08549873821534237,0.3718942381047241,hybrid,STAT0004,2021-22
STAT0004_2122,6,0.19920945455147898,0.0320514268170088,-0.022981477403426008,0.08327405804005175,0.051978640997189324,0.3481178488844285,hybrid,STAT0004,2021-22
STAT0004_2122,7,0.21544488241244697,0.01696573932902609,-0.035681694639279955,0.06493119100818064,0.06700140791202003,0.36465941487237197,hybrid,STAT0004,2021-22
STAT0004_2122,8,0.2289822670611913,0.0037935357328819364,-0.042399442315991964,0.04426308880826726,0.08061897696009777,0.3769825812664805,hybrid,STAT0004,2021-22
STAT0004_2122,9,0.21223034316571546,0.01969864997487121,-0.022428765223770904,0.0612751285166825,0.060576268018420344,0.3661094435662371,hybrid,STAT0004,2021-22
STAT0004_2122,10,0.23107065627834514,6.846536506685819e-4,-0.03014529359492189,0.03215090211220259,0.07798782435421513,0.3814079330357528,hybrid,STAT0004,2021-22
STAT0004_2122,11,0.2319751139460792,0,0,0,0.08476033026299465,0.38092590332679466,hybrid,STAT0004,2021-22
STAT0004_2223,1,0.09903245908327052,0.09462652377000715,-0.04847357959887197,0.23977077730173818,-0.03116059739338106,0.23274717493247865,in_person,STAT0004,2022-23
STAT0004_2223,2,0.16732473956007307,0.02455660114641202,-0.08526735640668684,0.13469311487749608,0.027520652937588333,0.2921486449111813,in_person,STAT0004,2022-23
STAT0004_2223,3,0.2156846587300213,-0.0226183247636238,-0.118244792050527,0.06956283777787847,0.07755516519190137,0.3469361968433206,in_person,STAT0004,2022-23
STAT0004_2223,4,0.1821869052771621,0.011824812691264272,-0.08367449716631911,0.10052099665452424,0.04127881157851901,0.31604689848228174,in_person,STAT0004,2022-23
STAT0004_2223,5,0.17343536015854458,0.02049312300842441,-0.06548179332614479,0.10070508260325957,0.03158021678084008,0.30185596233256606,in_person,STAT0004,2022-23
STAT0004_2223,6,0.15870190517586977,0.03544995022437422,-0.037439532661084386,0.10659345363969754,0.017135911905648345,0.2889929665510254,in_person,STAT0004,2022-23
STAT0004_2223,7,0.16720387704117184,0.02675289822631106,-0.03854559908773658,0.09086250334608759,0.024350983203807148,0.29875171737671824,in_person,STAT0004,2022-23
STAT0004_2223,8,0.1615578708010737,0.03193012027087712,-0.02776026444330172,0.09205714431865755,0.01698634599324078,0.2903277624539719,in_person,STAT0004,2022-23
STAT0004_2223,9,0.16604861971764887,0.02734522518595735,-0.025720080721726307,0.07869217685321021,0.02430599677237253,0.29768410921497107,in_person,STAT0004,2022-23
STAT0004_2223,10,0.16503227580870708,0.028501420397381516,-0.008512795747117236,0.06757074123475226,0.023437357745209948,0.2999644110921029,in_person,STAT0004,2022-23
STAT0004_2223,11,0.1943791080767068,0,0,0,0.056318011473860126,0.33021278180107466,in_person,STAT0004,2022-23
