term,tau,estimate,std.error,p.value,cohort_id,week,predictor,condition,module,indicator,lo,hi
z_cum_freq,0.75,3.5446526500260456,0.9664321985788858,2.8387404192731225e-4,STAT0002_2021,11,z_cum_freq,online,STAT0002,Frequency,1.6504455408114294,5.438859759240662
z_cum_freq,0.9,2.4625035843865577,1.1237163049094638,0.029101403728253095,STAT0002_2021,11,z_cum_freq,online,STAT0002,Frequency,0.26001962676400847,4.664987542009107
z_cum_imm,0.1,5.029504497493489,2.659264602518017,0.05943222024049133,STAT0002_2021,11,z_cum_imm,online,STAT0002,Immediacy,-0.1826541234418242,10.241663118428804
z_cum_imm,0.25,3.9363741336644593,1.3060084172709776,0.002771501852987024,STAT0002_2021,11,z_cum_imm,online,STAT0002,Immediacy,1.3765976358133432,6.496150631515576
z_cum_imm,0.5,3.0378885418868324,1.1007671578809626,0.006097204256823918,STAT0002_2021,11,z_cum_imm,online,STAT0002,Immediacy,0.8803849124401459,5.195392171333519
z_cum_imm,0.75,3.7002551462503486,0.6778680327512293,9.26746972496062e-8,STAT0002_2021,11,z_cum_imm,online,STAT0002,Immediacy,2.3716338020579393,5.028876490442758
z_cum_imm,0.9,2.3731431333638016,1.1821149664485462,0.04548309636992842,STAT0002_2021,11,z_cum_imm,online,STAT0002,Immediacy,0.05619779912465095,4.690088467602952
z_cum_div,0.1,3.575161047697659,1.2610812834431842,0.004856726187346894,STAT0002_2021,11,z_cum_div,online,STAT0002,Diversity,1.1034417321490184,6.0468803632463
z_cum_div,0.25,3.7595627677048307,0.8974375603058198,3.571335693841604e-5,STAT0002_2021,11,z_cum_div,online,STAT0002,Diversity,2.000585149505424,5.518540385904237
z_cum_div,0.5,2.7631140089262947,1.0876968154569504,0.011518980590510264,STAT0002_2021,11,z_cum_div,online,STAT0002,Diversity,0.6312282506306719,4.894999767221917
z_cum_div,0.75,3.964791793958099,1.0534371878798794,1.9717978335576092e-4,STAT0002_2021,11,z_cum_div,online,STAT0002,Diversity,1.9000549057135356,6.029528682202663
z_cum_div,0.9,2.5453792859886755,1.1739348134580103,0.030833119588661084,STAT0002_2021,11,z_cum_div,online,STAT0002,Diversity,0.24446705161097526,4.846291520366376
z_cum_freq,0.1,6.261536060742833,1.3788310890722297,8.499254992244687e-6,STAT0002_2223,6,z_cum_freq,in_person,STAT0002,Frequency,3.559027126161263,8.964044995324404
z_cum_freq,0.25,6.182046393297462,0.9092045982656025,6.943046138019326e-11,STAT0002_2223,6,z_cum_freq,in_person,STAT0002,Frequency,4.400005380696881,7.964087405898042
z_cum_freq,0.5,3.5915274185551156,0.7826340008532782,6.880133765374552e-6,STAT0002_2223,6,z_cum_freq,in_person,STAT0002,Frequency,2.0575647768826903,5.125490060227541
z_cum_freq,0.75,2.9587838167608944,1.0451104115340846,0.004994830385021132,STAT0002_2223,6,z_cum_freq,in_person,STAT0002,Frequency,0.9103674101540888,5.0072002233677
z_cum_freq,0.9,2.9884715217085125,0.7308855045123014,5.7538747155305714e-5,STAT0002_2223,6,z_cum_freq,in_person,STAT0002,Frequency,1.5559359328644018,4.421007110552623
z_cum_imm,0.1,6.154618250056788,2.3514267359833108,0.009369563098449163,STAT0002_2223,6,z_cum_imm,in_person,STAT0002,Immediacy,1.5458218475294991,10.763414652584077
z_cum_imm,0.25,4.992463962447977,1.5086910316007103,0.0010655674121391456,STAT0002_2223,6,z_cum_imm,in_person,STAT0002,Immediacy,2.035429540510585,7.94949838438537
z_cum_imm,0.5,4.174084767399376,1.027870126738147,6.441604262819034e-5,STAT0002_2223,6,z_cum_imm,in_person,STAT0002,Immediacy,2.159459318992608,6.188710215806143
z_cum_imm,0.75,2.938957336107823,0.9395809898417454,0.001956729523566736,STAT0002_2223,6,z_cum_imm,in_person,STAT0002,Immediacy,1.0973785960180023,4.780536076197644
z_cum_imm,0.9,1.6907917642135715,0.6542372164432024,0.01029117382497935,STAT0002_2223,6,z_cum_imm,in_person,STAT0002,Immediacy,0.4084868199848948,2.973096708442248
z_cum_div,0.1,6.556857701527842,1.2228535271724992,1.7932382423424542e-7,STAT0002_2223,6,z_cum_div,in_person,STAT0002,Diversity,4.160064788269743,8.953650614785941
